Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
273,Zach Lofton\loftoza01,SG,26,DET,1,0,4.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
274,Kevon Looney\looneke01,C,22,GSW,35,12,20.4,2.7,4.4,.623,0.0,0.2,.000,2.7,4.2,.649,.623,0.8,1.3,.617,2.5,2.9,5.4,1.8,0.3,0.8,0.7,2.7,6.3
275,Brook Lopez\lopezbr01,C,30,MIL,33,33,27.6,4.1,9.7,.422,2.4,6.7,.351,1.7,3.0,.582,.544,1.2,1.4,.826,0.4,3.7,4.1,1.1,0.5,1.9,1.0,2.2,11.7
276,Robin Lopez\lopezro01,C,30,CHI,28,0,17.4,2.6,5.1,.507,0.1,0.4,.250,2.5,4.7,.530,.517,0.8,1.1,.700,1.2,1.4,2.5,1.1,0.1,1.0,1.5,1.9,6.1
277,Kevin Love\loveke01,PF,30,CLE,4,4,34.0,5.3,16.3,.323,1.8,6.0,.292,3.5,10.3,.341,.377,6.8,8.3,.818,2.5,11.0,13.5,3.5,0.3,0.3,2.5,3.5,19.0
278,Kyle Lowry\lowryky01,PG,32,TOR,30,30,34.1,5.0,11.5,.433,2.1,6.6,.325,2.8,4.9,.578,.526,2.4,2.8,.845,0.5,4.0,4.5,9.8,1.4,0.5,2.7,2.2,14.4
279,Jordan Loyd\loydjo01,PG,25,TOR,3,0,5.7,1.0,1.0,1.000,0.7,0.7,1.000,0.3,0.3,1.000,1.333,1.3,1.3,1.000,0.3,1.3,1.7,0.3,0.0,0.0,0.3,0.7,4.0
280,Timothe Luwawu-Cabarrot\luwawti01,SF,23,OKC,17,1,6.9,0.8,2.4,.317,0.3,1.2,.238,0.5,1.2,.400,.378,0.2,0.4,.667,0.2,0.8,1.0,0.2,0.2,0.1,0.3,0.8,2.1
281,Tyler Lydon\lydonty01,PF,22,DEN,11,0,3.7,0.5,0.7,.750,0.3,0.4,.750,0.3,0.4,.750,.938,0.1,0.2,.500,0.4,0.5,0.8,0.2,0.1,0.0,0.1,0.4,1.5
282,Trey Lyles\lylestr01,PF,23,DEN,32,1,20.4,3.7,8.7,.419,0.8,3.4,.250,2.8,5.3,.526,.468,1.7,2.5,.696,0.7,3.8,4.5,1.4,0.6,0.5,1.4,1.7,9.9
283,Shelvin Mack\macksh01,PG,28,MEM,34,2,24.4,3.0,7.2,.419,1.0,2.5,.400,2.0,4.7,.429,.488,1.2,1.7,.702,0.3,1.6,2.0,3.1,1.0,0.1,1.2,1.6,8.2
284,Daryl Macon\maconda01,SG,23,DAL,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,Ian Mahinmi\mahinia01,C,32,WAS,18,6,13.7,1.1,2.3,.452,0.1,0.4,.125,1.0,1.9,.529,.464,1.8,2.7,.688,1.4,1.9,3.3,0.5,0.6,0.3,0.6,2.6,4.0
286,Thon Maker\makerth01,C,21,MIL,25,0,12.1,1.9,4.0,.465,0.9,2.5,.371,1.0,1.6,.615,.579,0.7,1.2,.548,0.4,2.4,2.8,0.5,0.2,0.6,0.3,1.6,5.4
287,Boban Marjanovic\marjabo01,C,30,LAC,26,7,11.2,2.7,4.3,.625,0.0,0.0,.000,2.7,4.3,.631,.625,2.3,2.9,.787,1.7,2.9,4.6,0.6,0.3,0.6,1.0,1.6,7.7
288,Lauri Markkanen\markkla01,PF,21,CHI,12,11,30.0,6.4,14.9,.430,2.7,6.8,.390,3.8,8.1,.464,.520,1.9,2.3,.852,1.2,5.6,6.8,1.2,1.0,0.8,1.5,2.4,17.4
289,Jarell Martin\martija01,PF,24,ORL,20,1,8.6,0.9,2.6,.333,0.2,1.1,.190,0.7,1.5,.433,.373,0.3,0.4,.857,0.3,1.5,1.8,0.6,0.1,0.2,0.4,1.2,2.2
290,Frank Mason\masonfr01,PG,24,SAC,27,0,13.2,1.9,4.7,.397,0.3,1.6,.205,1.5,3.0,.500,.433,1.1,1.6,.705,0.1,1.2,1.3,2.8,0.5,0.1,1.0,0.9,5.2
291,Wesley Matthews\matthwe02,SG,32,DAL,29,29,31.0,4.8,11.4,.418,2.4,6.1,.398,2.3,5.3,.442,.524,2.3,3.0,.791,0.6,1.9,2.4,2.4,0.9,0.2,1.3,2.5,14.3
292,Luc Mbah a Moute\mbahalu01,PF,32,LAC,4,0,15.3,2.0,4.5,.444,0.5,1.5,.333,1.5,3.0,.500,.500,0.5,1.3,.400,0.5,1.3,1.8,0.5,0.3,0.3,0.5,2.0,5.0
293,CJ McCollum\mccolcj01,SG,27,POR,33,33,34.1,8.3,18.0,.461,1.9,5.7,.337,6.4,12.3,.518,.514,2.4,3.0,.816,0.9,2.9,3.8,2.6,0.9,0.4,1.8,2.6,20.9
